2020-01-01, Región: Región Principal, País: China, Cultivo: Arroz, Plaga detectada: Barrenador del tallo, Severidad: Media, Área afectada: 2745ha, Tratamiento aplicado: Químico (Epoxiconazole), Eficacia: 93%, Pérdida estimada: 26%
2020-03-20, Región: California, País: Estados Unidos, Cultivo: Maíz, Plaga detectada: Chinche marrón, Severidad: Alta, Área afectada: 4435ha, Tratamiento aplicado: Químico (Imidacloprid), Eficacia: 96%, Pérdida estimada: 15%
2020-04-03, Región: Región Principal, País: Alemania, Cultivo: Soja, Enfermedad detectada: Podredumbre, Severidad: Baja, Área afectada: 4266ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 70%, Pérdida estimada: 18%
2020-04-18, Región: California, País: Estados Unidos, Cultivo: Arroz, Plaga detectada: Pulgón, Severidad: Alta, Área afectada: 4502ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 91%, Pérdida estimada: 27%
2020-04-22, Región: Región Principal, País: Francia, Cultivo: Algodón, Plaga detectada: Langosta, Severidad: Media, Área afectada: 1552ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 95%, Pérdida estimada: 8%
2020-04-30, Región: California, País: Estados Unidos, Cultivo: Soja, Plaga detectada: Ácaro, Severidad: Alta, Área afectada: 1724ha, Tratamiento aplicado: Biológico (Bacillus thuringiensis), Eficacia: 70%, Pérdida estimada: 3%
2020-05-01, Región: Región Principal, País: China, Cultivo: Soja, Plaga detectada: Gusano cogollero, Severidad: Baja, Área afectada: 2086ha, Tratamiento aplicado: Físico (Trampas de feromonas), Eficacia: 83%, Pérdida estimada: 24%
2020-05-12, Región: Región Principal, País: Alemania, Cultivo: Maíz, Plaga detectada: Pulgón, Severidad: Media, Área afectada: 2498ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 88%, Pérdida estimada: 32%
2020-05-23, Región: Pampa Húmeda, País: Argentina, Cultivo: Caña de azúcar, Plaga detectada: Pulgón, Severidad: Baja, Área afectada: 2105ha, Tratamiento aplicado: Físico (Barreras físicas), Eficacia: 94%, Pérdida estimada: 36%
2020-06-05, Región: Mata Atlántica, País: Brasil, Cultivo: Algodón, Enfermedad detectada: Oídio, Severidad: Baja, Área afectada: 3122ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 94%, Pérdida estimada: 7%
2020-06-13, Región: Región Principal, País: China, Cultivo: Café, Plaga detectada: Gusano cogollero, Severidad: Crítica, Área afectada: 3121ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 89%, Pérdida estimada: 32%
2020-06-14, Región: Región Principal, País: Francia, Cultivo: Cebada, Plaga detectada: Ácaro, Severidad: Baja, Área afectada: 94ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 86%, Pérdida estimada: 30%
2020-06-16, Región: California, País: Estados Unidos, Cultivo: Caña de azúcar, Plaga detectada: Ácaro, Severidad: Baja, Área afectada: 2084ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 86%, Pérdida estimada: 33%
2020-06-19, Región: Wheatbelt, País: Australia, Cultivo: Cebada, Plaga detectada: Pulgón, Severidad: Crítica, Área afectada: 908ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 76%, Pérdida estimada: 32%
2020-06-27, Región: Coastal, País: India, Cultivo: Maíz, Enfermedad detectada: Roya de la hoja, Severidad: Crítica, Área afectada: 369ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 77%, Pérdida estimada: 23%
2020-07-11, Región: Tasmania, País: Australia, Cultivo: Arroz, Enfermedad detectada: Roya amarilla, Severidad: Baja, Área afectada: 1357ha, Tratamiento aplicado: Químico (Imidacloprid), Eficacia: 93%, Pérdida estimada: 40%
2020-07-21, Región: Noroeste, País: Argentina, Cultivo: Caña de azúcar, Plaga detectada: Ácaro, Severidad: Baja, Área afectada: 4312ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 87%, Pérdida estimada: 8%
2020-07-28, Región: Queensland Coast, País: Australia, Cultivo: Maíz, Plaga detectada: Ácaro, Severidad: Baja, Área afectada: 543ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 98%, Pérdida estimada: 24%
2020-08-05, Región: Región Principal, País: Alemania, Cultivo: Café, Enfermedad detectada: Roya de la hoja, Severidad: Baja, Área afectada: 207ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 88%, Pérdida estimada: 13%
2020-08-16, Región: Deccan, País: India, Cultivo: Caña de azúcar, Plaga detectada: Langosta, Severidad: Baja, Área afectada: 1529ha, Tratamiento aplicado: Físico (Trampas de feromonas), Eficacia: 87%, Pérdida estimada: 4%
2020-08-20, Región: Deccan, País: India, Cultivo: Trigo, Plaga detectada: Ácaro, Severidad: Baja, Área afectada: 3056ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 95%, Pérdida estimada: 2%
2020-08-22, Región: Región Principal, País: China, Cultivo: Té, Plaga detectada: Chinche marrón, Severidad: Alta, Área afectada: 2006ha, Tratamiento aplicado: Físico (Trampas de feromonas), Eficacia: 76%, Pérdida estimada: 32%
2020-08-30, Región: Murray-Darling Basin, País: Australia, Cultivo: Arroz, Plaga detectada: Gusano cogollero, Severidad: Media, Área afectada: 1050ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 85%, Pérdida estimada: 34%
2020-09-01, Región: Pacific Northwest, País: Estados Unidos, Cultivo: Arroz, Enfermedad detectada: Antracnosis, Severidad: Media, Área afectada: 2160ha, Tratamiento aplicado: Físico (Trampas de feromonas), Eficacia: 94%, Pérdida estimada: 29%
2020-09-02, Región: Región Principal, País: Francia, Cultivo: Algodón, Plaga detectada: Pulgón, Severidad: Crítica, Área afectada: 3694ha, Tratamiento aplicado: Químico (Imidacloprid), Eficacia: 85%, Pérdida estimada: 34%
2020-09-17, Región: Región Principal, País: Alemania, Cultivo: Trigo, Plaga detectada: Mosca blanca, Severidad: Crítica, Área afectada: 624ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 70%, Pérdida estimada: 28%
2020-09-19, Región: Cerrado, País: Brasil, Cultivo: Trigo, Plaga detectada: Ácaro, Severidad: Alta, Área afectada: 3815ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 96%, Pérdida estimada: 36%
2020-09-29, Región: Región Principal, País: Francia, Cultivo: Cebada, Plaga detectada: Ácaro, Severidad: Media, Área afectada: 3854ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 92%, Pérdida estimada: 33%
2020-10-05, Región: Mata Atlántica, País: Brasil, Cultivo: Cebada, Enfermedad detectada: Fusarium, Severidad: Media, Área afectada: 2574ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 88%, Pérdida estimada: 14%
2020-10-11, Región: Región Principal, País: China, Cultivo: Arroz, Plaga detectada: Ácaro, Severidad: Alta, Área afectada: 2171ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 91%, Pérdida estimada: 14%
2020-10-24, Región: Great Plains, País: Estados Unidos, Cultivo: Cebada, Plaga detectada: Pulgón, Severidad: Alta, Área afectada: 1684ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 86%, Pérdida estimada: 13%
2020-10-26, Región: Región Principal, País: China, Cultivo: Arroz, Plaga detectada: Pulgón, Severidad: Media, Área afectada: 4081ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 82%, Pérdida estimada: 32%
2020-11-07, Región: Región Principal, País: China, Cultivo: Té, Plaga detectada: Chinche marrón, Severidad: Alta, Área afectada: 4974ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 73%, Pérdida estimada: 26%
2020-11-21, Región: Región Principal, País: Alemania, Cultivo: Maíz, Plaga detectada: Mosca blanca, Severidad: Crítica, Área afectada: 3735ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 88%, Pérdida estimada: 28%
2020-11-25, Región: Región Principal, País: China, Cultivo: Maíz, Plaga detectada: Langosta, Severidad: Baja, Área afectada: 3912ha, Tratamiento aplicado: Físico (Barreras físicas), Eficacia: 80%, Pérdida estimada: 9%
2020-11-28, Región: California, País: Estados Unidos, Cultivo: Soja, Enfermedad detectada: Piricularia, Severidad: Baja, Área afectada: 585ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 87%, Pérdida estimada: 36%
2020-12-03, Región: Pacific Northwest, País: Estados Unidos, Cultivo: Soja, Plaga detectada: Oruga militar tardía, Severidad: Baja, Área afectada: 922ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 93%, Pérdida estimada: 19%
2020-12-08, Región: Región Principal, País: Alemania, Cultivo: Arroz, Plaga detectada: Mosca blanca, Severidad: Alta, Área afectada: 1946ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 87%, Pérdida estimada: 39%
2020-12-14, Región: Coastal, País: India, Cultivo: Trigo, Plaga detectada: Oruga militar tardía, Severidad: Media, Área afectada: 756ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 73%, Pérdida estimada: 8%
2020-12-18, Región: Región Principal, País: Alemania, Cultivo: Arroz, Plaga detectada: Chinche marrón, Severidad: Media, Área afectada: 1815ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 70%, Pérdida estimada: 17%
2020-12-29, Región: Región Principal, País: China, Cultivo: Algodón, Plaga detectada: Barrenador del tallo, Severidad: Baja, Área afectada: 681ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 84%, Pérdida estimada: 30%
2021-01-01, Región: Región Principal, País: Alemania, Cultivo: Té, Plaga detectada: Mosca blanca, Severidad: Media, Área afectada: 4036ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 80%, Pérdida estimada: 22%
2021-01-02, Región: Tasmania, País: Australia, Cultivo: Café, Enfermedad detectada: Tizón tardío, Severidad: Alta, Área afectada: 1193ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 96%, Pérdida estimada: 26%
2021-01-05, Región: Región Principal, País: Alemania, Cultivo: Arroz, Plaga detectada: Ácaro, Severidad: Alta, Área afectada: 2047ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 82%, Pérdida estimada: 40%
2021-01-20, Región: Wheatbelt, País: Australia, Cultivo: Maíz, Plaga detectada: Gusano cogollero, Severidad: Crítica, Área afectada: 189ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 81%, Pérdida estimada: 25%
2021-01-27, Región: Noroeste, País: Argentina, Cultivo: Caña de azúcar, Enfermedad detectada: Mildiu, Severidad: Baja, Área afectada: 3592ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 77%, Pérdida estimada: 19%
2021-02-02, Región: Región Principal, País: China, Cultivo: Caña de azúcar, Plaga detectada: Barrenador del tallo, Severidad: Baja, Área afectada: 3134ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 94%, Pérdida estimada: 16%
2021-02-04, Región: Corn Belt, País: Estados Unidos, Cultivo: Soja, Plaga detectada: Mosca blanca, Severidad: Crítica, Área afectada: 1230ha, Tratamiento aplicado: Cultural (Rotación de cultivos), Eficacia: 97%, Pérdida estimada: 29%
2021-02-09, Región: Pacific Northwest, País: Estados Unidos, Cultivo: Arroz, Plaga detectada: Gusano cogollero, Severidad: Media, Área afectada: 765ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 90%, Pérdida estimada: 13%
2021-02-14, Región: Wheatbelt, País: Australia, Cultivo: Algodón, Plaga detectada: Barrenador del tallo, Severidad: Baja, Área afectada: 561ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 96%, Pérdida estimada: 13%
2021-02-23, Región: Mata Atlántica, País: Brasil, Cultivo: Caña de azúcar, Enfermedad detectada: Roya de la hoja, Severidad: Media, Área afectada: 2022ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 97%, Pérdida estimada: 12%
2021-03-08, Región: Región Principal, País: China, Cultivo: Café, Plaga detectada: Oruga militar tardía, Severidad: Crítica, Área afectada: 1115ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 85%, Pérdida estimada: 11%
2021-03-22, Región: California, País: Estados Unidos, Cultivo: Arroz, Plaga detectada: Mosca blanca, Severidad: Crítica, Área afectada: 2023ha, Tratamiento aplicado: Físico (Trampas de feromonas), Eficacia: 92%, Pérdida estimada: 9%
2021-04-03, Región: Punjab, País: India, Cultivo: Trigo, Plaga detectada: Ácaro, Severidad: Media, Área afectada: 14ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 86%, Pérdida estimada: 33%
2021-04-14, Región: Región Principal, País: Alemania, Cultivo: Café, Enfermedad detectada: Oídio, Severidad: Alta, Área afectada: 4970ha, Tratamiento aplicado: Físico (Barreras físicas), Eficacia: 86%, Pérdida estimada: 28%
2021-04-17, Región: Murray-Darling Basin, País: Australia, Cultivo: Trigo, Plaga detectada: Pulgón, Severidad: Alta, Área afectada: 956ha, Tratamiento aplicado: Físico (Barreras físicas), Eficacia: 82%, Pérdida estimada: 21%
2021-04-23, Región: Noroeste, País: Argentina, Cultivo: Girasol, Plaga detectada: Oruga militar tardía, Severidad: Media, Área afectada: 3577ha, Tratamiento aplicado: Químico (Epoxiconazole), Eficacia: 97%, Pérdida estimada: 39%
2021-05-06, Región: Pacific Northwest, País: Estados Unidos, Cultivo: Cebada, Plaga detectada: Oruga militar tardía, Severidad: Media, Área afectada: 3606ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 82%, Pérdida estimada: 31%
2021-05-18, Región: Wheatbelt, País: Australia, Cultivo: Girasol, Plaga detectada: Ácaro, Severidad: Baja, Área afectada: 2020ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 79%, Pérdida estimada: 25%
2021-05-19, Región: Región Principal, País: Francia, Cultivo: Caña de azúcar, Enfermedad detectada: Mildiu, Severidad: Baja, Área afectada: 4910ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 96%, Pérdida estimada: 34%
2021-05-28, Región: Tasmania, País: Australia, Cultivo: Maíz, Plaga detectada: Pulgón, Severidad: Media, Área afectada: 2552ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 73%, Pérdida estimada: 11%
2021-06-09, Región: Región Principal, País: China, Cultivo: Maíz, Plaga detectada: Pulgón, Severidad: Baja, Área afectada: 3682ha, Tratamiento aplicado: Físico (Barreras físicas), Eficacia: 95%, Pérdida estimada: 31%
2021-06-15, Región: Región Principal, País: Francia, Cultivo: Cebada, Plaga detectada: Gusano cogollero, Severidad: Crítica, Área afectada: 4003ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 71%, Pérdida estimada: 37%
2021-06-27, Región: Pampas, País: Brasil, Cultivo: Trigo, Plaga detectada: Langosta, Severidad: Alta, Área afectada: 1189ha, Tratamiento aplicado: Químico (Imidacloprid), Eficacia: 72%, Pérdida estimada: 26%
2021-07-02, Región: Región Principal, País: Alemania, Cultivo: Arroz, Plaga detectada: Oruga militar tardía, Severidad: Media, Área afectada: 1603ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 76%, Pérdida estimada: 28%
2021-07-15, Región: California, País: Estados Unidos, Cultivo: Algodón, Enfermedad detectada: Tizón tardío, Severidad: Baja, Área afectada: 552ha, Tratamiento aplicado: Químico (Clorantraniliprol), Eficacia: 78%, Pérdida estimada: 32%
2021-07-28, Región: Pampas, País: Brasil, Cultivo: Arroz, Enfermedad detectada: Roya de la hoja, Severidad: Crítica, Área afectada: 945ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 84%, Pérdida estimada: 23%
2021-08-07, Región: Región Principal, País: Francia, Cultivo: Caña de azúcar, Plaga detectada: Pulgón, Severidad: Alta, Área afectada: 4324ha, Tratamiento aplicado: Químico (Lambda-cihalotrin), Eficacia: 95%, Pérdida estimada: 40%
2021-08-20, Región: Punjab, País: India, Cultivo: Arroz, Plaga detectada: Mosca blanca, Severidad: Alta, Área afectada: 4178ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 93%, Pérdida estimada: 27%
2021-08-21, Región: Región Principal, País: China, Cultivo: Cebada, Enfermedad detectada: Podredumbre, Severidad: Media, Área afectada: 1803ha, Tratamiento aplicado: Químico (Epoxiconazole), Eficacia: 98%, Pérdida estimada: 11%
2021-09-05, Región: Mata Atlántica, País: Brasil, Cultivo: Café, Plaga detectada: Ácaro, Severidad: Crítica, Área afectada: 4651ha, Tratamiento aplicado: Cultural (Fecha de siembra ajustada), Eficacia: 72%, Pérdida estimada: 17%
2021-09-08, Región: Queensland Coast, País: Australia, Cultivo: Soja, Enfermedad detectada: Piricularia, Severidad: Crítica, Área afectada: 3335ha, Tratamiento aplicado: Físico (Trampas de feromonas), Eficacia: 83%, Pérdida estimada: 32%
2021-09-09, Región: Región Principal, País: Francia, Cultivo: Girasol, Plaga detectada: Langosta, Severidad: Crítica, Área afectada: 3256ha, Tratamiento aplicado: Químico (Epoxiconazole), Eficacia: 83%, Pérdida estimada: 17%
2021-09-14, Región: Ganges, País: India, Cultivo: Té, Plaga detectada: Pulgón, Severidad: Crítica, Área afectada: 688ha, Tratamiento aplicado: Biológico (Bacillus thuringiensis), Eficacia: 72%, Pérdida estimada: 2%
2021-09-17, Región: Región Principal, País: Alemania, Cultivo: Caña de azúcar, Enfermedad detectada: Roya de la hoja, Severidad: Baja, Área afectada: 27ha, Tratamiento aplicado: Físico (Trampas de feromonas), Eficacia: 71%, Pérdida estimada: 10%
2021-09-22, Región: Región Principal, País: Francia, Cultivo: Girasol, Plaga detectada: Mosca blanca, Severidad: Alta, Área afectada: 828ha, Tratamiento aplicado: Biológico (Nematodos entomopatógenos), Eficacia: 72%, Pérdida estimada: 4%
2021-10-02, Región: Cuyo, País: Argentina, Cultivo: Arroz, Enfermedad detectada: Oídio, Severidad: Baja, Área afectada: 2199ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 96%, Pérdida estimada: 35%
2021-10-04, Región: Región Principal, País: China, Cultivo: Trigo, Plaga detectada: Mosca blanca, Severidad: Media, Área afectada: 4227ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 89%, Pérdida estimada: 16%
2021-10-16, Región: Región Principal, País: China, Cultivo: Maíz, Enfermedad detectada: Roya de la hoja, Severidad: Crítica, Área afectada: 3716ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 79%, Pérdida estimada: 20%
2021-10-27, Región: Región Principal, País: Alemania, Cultivo: Algodón, Enfermedad detectada: Fusarium, Severidad: Alta, Área afectada: 1734ha, Tratamiento aplicado: Químico (Epoxiconazole), Eficacia: 74%, Pérdida estimada: 11%
2021-10-28, Región: Cerrado, País: Brasil, Cultivo: Maíz, Plaga detectada: Langosta, Severidad: Media, Área afectada: 1233ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 94%, Pérdida estimada: 23%
2021-11-09, Región: Región Principal, País: Francia, Cultivo: Té, Enfermedad detectada: Mildiu, Severidad: Crítica, Área afectada: 1014ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 76%, Pérdida estimada: 32%
2021-11-20, Región: Cuyo, País: Argentina, Cultivo: Girasol, Plaga detectada: Pulgón, Severidad: Baja, Área afectada: 410ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 82%, Pérdida estimada: 13%
2021-12-04, Región: Tasmania, País: Australia, Cultivo: Caña de azúcar, Enfermedad detectada: Antracnosis, Severidad: Crítica, Área afectada: 1098ha, Tratamiento aplicado: Cultural (Control manual), Eficacia: 92%, Pérdida estimada: 29%
2021-12-15, Región: Región Principal, País: Francia, Cultivo: Té, Plaga detectada: Chinche marrón, Severidad: Alta, Área afectada: 3416ha, Tratamiento aplicado: Biológico (Trichogramma spp.), Eficacia: 98%, Pérdida estimada: 23%
2021-12-18, Región: Cuyo, País: Argentina, Cultivo: Trigo, Plaga detectada: Langosta, Severidad: Alta, Área afectada: 1666ha, Tratamiento aplicado: Químico (Epoxiconazole), Eficacia: 71%, Pérdida estimada: 2%
2021-12-29, Región: Región Principal, País: Francia, Cultivo: Girasol, Plaga detectada: Gusano cogollero, Severidad: Crítica, Área afectada: 4114ha, Tratamiento aplicado: Químico (Imidacloprid), Eficacia: 74%, Pérdida estimada: 23%
2022-01-09, Región: Región Principal, País: China, Cultivo: Café, Enfermedad detectada: Tizón tardío, Severidad: Crítica, Área afectada: 332ha, Tratamiento aplicado: Físico (Control térmico), Eficacia: 88%, Pérdida estimada: 37%
2022-01-14, Región: Queensland Coast, País: Australia, Cultivo: Maíz, Plaga detectada: Ácaro, Severidad: Baja, Área afectada: 3897ha, Tratamiento aplicado: Físico (Barreras físicas), Eficacia: 98%, Pérdida estimada: 40%
