Año,Mes,Día,Area_afectada,Cultivo,Eficacia,Pais,Perdida_estimada,Plaga_detectada,Region,Severidad,Tratamiento_Aplicado
2021,julio,15,552,Algodón,78,Estados Unidos,32,Tizón tardío,California,Baja,Químico (Clorantraniliprol)
2021,julio,28,945,Arroz,84,Brasil,23,Roya de la hoja,Pampas,Crítica,Biológico (Nematodos entomopatógenos)
2021,agosto,7,4324,Caña de azúcar,95,Francia,40,Pulgón,Región Principal,Alta,Químico (Lambda-cihalotrin)
2021,agosto,20,4178,Arroz,93,India,27,Mosca blanca,Punjab,Alta,Cultural (Fecha de siembra ajustada)
2021,agosto,21,1803,Cebada,98,China,11,Podredumbre,Región Principal,Media,Químico (Epoxiconazole)
2021,septiembre,5,4651,Café,72,Brasil,17,Ácaro,Mata Atlántica,Crítica,Cultural (Fecha de siembra ajustada)
2021,septiembre,8,3335,Soja,83,Australia,32,Piricularia,Queensland Coast,Crítica,Físico (Trampas de feromonas)
2021,septiembre,9,3256,Girasol,83,Francia,17,Langosta,Región Principal,Crítica,Químico (Epoxiconazole)
2021,septiembre,14,688,Té,72,India,2,Pulgón,Ganges,Crítica,Biológico (Bacillus thuringiensis)
2021,septiembre,17,27,Caña de azúcar,71,Alemania,10,Roya de la hoja,Región Principal,Baja,Físico (Trampas de feromonas)
2021,septiembre,22,828,Girasol,72,Francia,4,Mosca blanca,Región Principal,Alta,Biológico (Nematodos entomopatógenos)
2021,octubre,2,2199,Arroz,96,Argentina,35,Oídio,Cuyo,Baja,Cultural (Control manual)
2021,octubre,4,4227,Trigo,89,China,16,Mosca blanca,Región Principal,Media,Biológico (Trichogramma spp.)
2021,octubre,16,3716,Maíz,79,China,20,Roya de la hoja,Región Principal,Crítica,Cultural (Control manual)
2021,octubre,27,1734,Algodón,74,Alemania,11,Fusarium,Región Principal,Alta,Químico (Epoxiconazole)
2021,octubre,28,1233,Maíz,94,Brasil,23,Langosta,Cerrado,Media,Biológico (Trichogramma spp.)
2021,noviembre,9,1014,Té,76,Francia,32,Mildiu,Región Principal,Crítica,Cultural (Control manual)
2021,noviembre,20,410,Girasol,82,Argentina,13,Pulgón,Cuyo,Baja,Biológico (Trichogramma spp.)
2021,diciembre,4,1098,Caña de azúcar,92,Australia,29,Antracnosis,Tasmania,Crítica,Cultural (Control manual)
2021,diciembre,15,3416,Té,98,Francia,23,Chinche marrón,Región Principal,Alta,Biológico (Trichogramma spp.)
2021,diciembre,18,1666,Trigo,71,Argentina,2,Langosta,Cuyo,Alta,Químico (Epoxiconazole)
2021,diciembre,29,4114,Girasol,74,Francia,23,Gusano cogollero,Región Principal,Crítica,Químico (Imidacloprid)
2022,enero,9,332,Café,88,China,37,Tizón tardío,Región Principal,Crítica,Físico (Control térmico)
2022,enero,14,3897,Maíz,98,Australia,40,Ácaro,Queensland Coast,Baja,Físico (Barreras físicas)
