id_noticia,Alemania,Argentina,Australia,Brasil,Canadá,España,Estados Unidos,India,Italia,Francia,Kenia,México,Nueva Zelanda,Rusia,China,categoria,contenido,Año,Mes,Día,fuente,impacto_cultivos,severidad,titular,Mes_Num,Fecha_Completa
NEWS2857,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,sanidad,El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,noviembre,29,Bloomberg Commodities,todos,alta,Nueva política agrícola en Kenia busca mejorar sostenibilidad,11,2021-11-29
NEWS2524,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,tecnologia,El gobierno de Argentina ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,noviembre,1,AgriCensus,todos,baja,Nueva política agrícola en Argentina busca mejorar sostenibilidad,11,2021-11-01
NEWS8920,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tecnologia,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,julio,24,Meat+Poultry,todos,baja,Nueva política agrícola en India busca mejorar sostenibilidad,7,2021-07-24
NEWS9395,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tecnologia,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,junio,29,AgriCensus,todos,media,Nueva política agrícola en Italia busca mejorar sostenibilidad,6,2021-06-29
NEWS3042,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,tecnologia,El gobierno de Kenia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,mayo,18,Bloomberg Commodities,todos,media,Nueva política agrícola en Kenia busca mejorar sostenibilidad,5,2022-05-18
NEWS4840,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,tecnologia,El gobierno de Rusia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,diciembre,26,Bloomberg Commodities,todos,baja,Nueva política agrícola en Rusia busca mejorar sostenibilidad,12,2022-12-26
NEWS9099,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,comercio,El gobierno de España ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,agosto,18,Farm Journal,todos,baja,Nueva política agrícola en España busca mejorar sostenibilidad,8,2021-08-18
NEWS8393,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 9% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,mayo,9,Reuters Agricultura,soja,media,Sequía afecta proyecciones de cosecha en Estados Unidos,5,2021-05-09
NEWS3127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,comercio,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,marzo,13,AgriCensus,todos,media,Nueva política agrícola en India busca mejorar sostenibilidad,3,2021-03-13
NEWS7613,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,comercio,El gobierno de México ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,enero,21,Farm Journal,todos,media,Nueva política agrícola en México busca mejorar sostenibilidad,1,2022-01-21
NEWS6787,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,politica,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,junio,11,Farm Journal,todos,baja,Nueva política agrícola en Italia busca mejorar sostenibilidad,6,2021-06-11
NEWS8884,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,sanidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,mayo,20,Reuters Agricultura,todos,alta,Nueva política agrícola en Italia busca mejorar sostenibilidad,5,2021-05-20
NEWS5385,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,tecnologia,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,enero,16,World Grain,todos,alta,Nueva política agrícola en India busca mejorar sostenibilidad,1,2023-01-16
NEWS9987,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,mercado,El mercado internacional de maíz muestra una tendencia subiendo. Los precios han subiendo un 9% en el último mes. Alemania se posiciona como un actor clave en este mercado.,2023,julio,13,Bloomberg Commodities,Maíz,media,Precios de maíz alcanzan máximo histórico,7,2023-07-13
NEWS6916,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de soja en Estados Unidos. Los agricultores reportan pérdidas del 11% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,febrero,24,Dairy Reporter,soja,media,Sequía afecta proyecciones de cosecha en Estados Unidos,2,2022-02-24
NEWS9010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,comercio,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,octubre,14,Meat+Poultry,todos,alta,Nueva política agrícola en Canadá busca mejorar sostenibilidad,10,2022-10-14
NEWS5336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,politica,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,enero,1,Bloomberg Commodities,todos,alta,Nueva política agrícola en Canadá busca mejorar sostenibilidad,1,2021-01-01
NEWS6757,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,sanidad,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,junio,28,Bloomberg Commodities,todos,alta,Nueva política agrícola en Canadá busca mejorar sostenibilidad,6,2021-06-28
NEWS9971,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,sanidad,El gobierno de Italia ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,abril,28,AgriCensus,todos,alta,Nueva política agrícola en Italia busca mejorar sostenibilidad,4,2022-04-28
NEWS6052,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,tecnologia,El gobierno de Brasil ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,octubre,8,AgriCensus,todos,alta,Nueva política agrícola en Brasil busca mejorar sostenibilidad,10,2021-10-08
NEWS9568,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,clima,Eventos climáticos extremos están afectando la producción de arroz en Australia. Los agricultores reportan pérdidas del 37% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2022,marzo,30,Meat+Poultry,Arroz,baja,Inundaciones devastan cultivos en Wheatbelt,3,2022-03-30
NEWS8360,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,clima,Eventos climáticos extremos están afectando la producción de arroz en Canadá. Los agricultores reportan pérdidas del 21% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,enero,11,Dairy Reporter,Arroz,baja,Ola de calor reduce rendimientos de Arroz,1,2021-01-11
NEWS6016,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,clima,Eventos climáticos extremos están afectando la producción de maíz en Alemania. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,enero,19,World Grain,Maíz,alta,Sequía afecta proyecciones de cosecha en Alemania,1,2021-01-19
NEWS5201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,mercado,El mercado internacional de arroz muestra una tendencia bajando. Los precios han bajando un 7% en el último mes. India se posiciona como un actor clave en este mercado.,2023,julio,28,Dairy Reporter,Arroz,media,Precios de arroz alcanzan máximo histórico,7,2023-07-28
NEWS8036,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,mercado,El mercado internacional de carne_bovina muestra una tendencia bajando. Los precios han bajando un 9% en el último mes. Rusia se posiciona como un actor clave en este mercado.,2021,marzo,10,Reuters Agricultura,carne_bovina,alta,Demanda china impulsa mercado de carne_bovina,3,2021-03-10
NEWS1596,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,tecnologia,El gobierno de Alemania ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,septiembre,5,Meat+Poultry,todos,media,Nueva política agrícola en Alemania busca mejorar sostenibilidad,9,2021-09-05
NEWS2746,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de girasol en Italia. Los agricultores reportan pérdidas del 39% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,septiembre,27,Farm Journal,Girasol,media,Inundaciones devastan cultivos en la región,9,2021-09-27
NEWS8593,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,clima,Eventos climáticos extremos están afectando la producción de girasol en Kenia. Los agricultores reportan pérdidas del 26% en algunas áreas. Expertos advierten sobre el impacto en los precios internacionales.,2021,septiembre,20,Bloomberg Commodities,Girasol,media,Sequía afecta proyecciones de cosecha en Kenia,9,2021-09-20
NEWS6507,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,sanidad,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2023,junio,12,World Grain,todos,baja,Nueva política agrícola en India busca mejorar sostenibilidad,6,2023-06-12
NEWS2690,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,mercado,El mercado internacional de trigo muestra una tendencia bajando. Los precios han bajando un 6% en el último mes. México se posiciona como un actor clave en este mercado.,2023,junio,24,World Grain,trigo,media,México restringe importaciones de trigo,6,2023-06-24
NEWS7644,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,politica,El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,junio,10,World Grain,todos,alta,Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad,6,2022-06-10
NEWS3628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,comercio,El gobierno de Canadá ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,diciembre,10,Bloomberg Commodities,todos,media,Nueva política agrícola en Canadá busca mejorar sostenibilidad,12,2022-12-10
NEWS9501,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,mercado,El mercado internacional de arroz muestra una tendencia subiendo. Los precios han subiendo un 3% en el último mes. España se posiciona como un actor clave en este mercado.,2022,septiembre,15,Bloomberg Commodities,Arroz,media,España aumenta exportaciones de arroz,9,2022-09-15
NEWS1225,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,mercado,El mercado internacional de maíz muestra una tendencia bajando. Los precios han bajando un 11% en el último mes. Alemania se posiciona como un actor clave en este mercado.,2022,noviembre,9,AgriCensus,Maíz,media,Demanda china impulsa mercado de maíz,11,2022-11-09
NEWS5795,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,tecnologia,El gobierno de India ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,mayo,6,Reuters Agricultura,todos,alta,Nueva política agrícola en India busca mejorar sostenibilidad,5,2022-05-06
NEWS6786,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,tecnologia,El gobierno de Nueva Zelanda ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2022,octubre,7,AgriCensus,todos,baja,Nueva política agrícola en Nueva Zelanda busca mejorar sostenibilidad,10,2022-10-07
NEWS3507,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,comercio,El gobierno de Estados Unidos ha anunciado nuevas medidas para promover prácticas agrícolas más sostenibles. Se espera que estas políticas impacten positivamente en la producción y el medio ambiente.,2021,septiembre,29,AgriCensus,todos,alta,Nueva política agrícola en Estados Unidos busca mejorar sostenibilidad,9,2021-09-29
