pais,codigo_iso,region,cultivo,anio,superficie_hectareas,rendimiento_ton_ha,produccion_ton,fertilizantes_kg_ha,agua_riego_m3_ha,tendencia_5_anios
Argentina,ARG,América del Sur,Soja,2020,7226711,2.54,18337419,209,3496,-0.026145505811109415
Argentina,ARG,América del Sur,Maíz,2020,2094642,6.53,13683934,246,7043,-0.033221085663219775
Argentina,ARG,América del Sur,Cebada,2020,1744383,5.01,8738359,129,2771,0.007868473250924359
Argentina,ARG,América del Sur,Té,2020,256100,1.7,435322,226,4978,-0.03980986945540235
Argentina,ARG,América del Sur,Algodón,2020,3457606,2.72,9410237,250,1672,-0.015279623469155103
Argentina,ARG,América del Sur,Girasol,2020,3163106,1.48,4684483,157,9031,-0.039446112935600144
Argentina,ARG,América del Sur,Café,2020,440698,2.01,886916,95,9548,0.04654737312380777
Argentina,ARG,América del Sur,Trigo,2020,4248426,7.19,30567194,201,5397,-0.01776954170188818
Brasil,BRA,América del Sur,Arroz,2011,1347714,4.38,5904963,137,5581,0.038031997975822546
Brasil,BRA,América del Sur,Soja,2011,2403160,3.3,7927168,111,7658,-0.0011422153151212644
Brasil,BRA,América del Sur,Cebada,2011,1479338,4.45,6581725,54,2524,-0.020576441867950268
Brasil,BRA,América del Sur,Té,2011,128089,1.65,211558,185,6632,-0.007449618729478524
Brasil,BRA,América del Sur,Café,2011,177446,1.11,197465,109,2976,0.022128433132606956
Brasil,BRA,América del Sur,Algodón,2011,2243064,3.76,8438524,239,8933,-0.02235003730313108
Brasil,BRA,América del Sur,Caña de azúcar,2011,8895477,125.62,1117450621,125,4727,-0.013911893085061355
Brasil,BRA,América del Sur,Girasol,2011,4468704,1.24,5553473,124,3068,0.013786965510592747
Brasil,BRA,América del Sur,Arroz,2012,455952,6.75,3078435,162,6582,-0.03156363296099183
Brasil,BRA,América del Sur,Soja,2012,7669673,3.11,23820326,175,2213,0.007702115647081807
Brasil,BRA,América del Sur,Cebada,2012,332518,2.92,969566,113,2940,0.00580730346176285
Brasil,BRA,América del Sur,Té,2012,119017,2.73,324561,126,8025,-0.019461975568063963
Brasil,BRA,América del Sur,Café,2012,327747,2.19,718560,210,4457,-0.02353538747099926
Brasil,BRA,América del Sur,Algodón,2012,979089,1.07,1051956,165,8699,-0.02087407109689724
Brasil,BRA,América del Sur,Caña de azúcar,2012,4673461,105.94,495101188,286,5334,0.028782802664673132
Brasil,BRA,América del Sur,Girasol,2012,1707210,2.5,4264818,282,5352,0.03266311596500597
Brasil,BRA,América del Sur,Arroz,2013,671704,7.26,4879482,285,5728,-0.0060846551326262585
Brasil,BRA,América del Sur,Soja,2013,2627794,4.59,12063146,176,8172,-0.04195581481006991
Brasil,BRA,América del Sur,Cebada,2013,862695,4.53,3908034,108,1339,0.04995724168774514
Brasil,BRA,América del Sur,Té,2013,147671,2.15,317080,182,8245,0.041607278792676755
Brasil,BRA,América del Sur,Café,2013,297899,1.76,524747,170,6700,-0.009165190656998466
Brasil,BRA,América del Sur,Algodón,2013,438489,3.52,1544979,123,7561,0.03135660347379726
Brasil,BRA,América del Sur,Caña de azúcar,2013,7814033,52.04,406647504,247,7622,0.036491058405187904
Brasil,BRA,América del Sur,Girasol,2013,20934,2.79,58380,98,9494,-0.013822064084832476
Brasil,BRA,América del Sur,Arroz,2014,2825946,4.07,11488616,83,5719,-0.006188390492762173
Brasil,BRA,América del Sur,Soja,2014,1133776,2.93,3324660,231,3594,-0.018924986160666492
Brasil,BRA,América del Sur,Cebada,2014,796024,3.8,3026303,168,2924,0.014770968878375867
Brasil,BRA,América del Sur,Té,2014,146103,2.02,295000,300,8736,-0.025626909392486165
Brasil,BRA,América del Sur,Café,2014,208293,0.98,204949,84,2143,-0.022375259717795904
Brasil,BRA,América del Sur,Algodón,2014,1885571,2.09,3949811,50,5634,0.02260509826135325
Brasil,BRA,América del Sur,Caña de azúcar,2014,10620028,106.85,1134706673,187,8935,-0.015487605830699247
Brasil,BRA,América del Sur,Girasol,2014,4709021,2.94,13835122,228,4912,0.0071797641984901114
Brasil,BRA,América del Sur,Arroz,2015,1661999,4.81,8001722,257,7246,-0.011392124750901768
Brasil,BRA,América del Sur,Soja,2015,7404309,3.73,27627853,82,9229,0.04653535901768538
Brasil,BRA,América del Sur,Cebada,2015,211840,5.47,1158588,166,1251,0.022244382757064265
Brasil,BRA,América del Sur,Té,2015,81632,1.19,97056,209,7512,0.014983665257927256
Brasil,BRA,América del Sur,Café,2015,500792,2.13,1066105,210,8994,0.03723830173985364
Brasil,BRA,América del Sur,Algodón,2015,266349,1.71,456333,108,2480,-0.00660285280768743
Brasil,BRA,América del Sur,Caña de azúcar,2015,1572151,104.64,164509104,61,6314,0.029614346516221177
Brasil,BRA,América del Sur,Girasol,2015,3071195,2.06,6338414,224,3950,-0.03300163509319026
Brasil,BRA,América del Sur,Arroz,2016,1465122,5.9,8647363,86,4804,-0.003885008664500242
Brasil,BRA,América del Sur,Soja,2016,2097553,4.4,9227256,123,9955,-0.03420243779282131
Brasil,BRA,América del Sur,Cebada,2016,738885,6.24,4608834,226,5097,-0.004316418733221347
Brasil,BRA,América del Sur,Té,2016,196325,2.2,431842,141,5847,0.049269204362689764
Brasil,BRA,América del Sur,Café,2016,422646,1.69,712279,225,1803,0.04106169537187106
Brasil,BRA,América del Sur,Algodón,2016,1335715,3.24,4323554,106,4115,0.012089116313030411
Brasil,BRA,América del Sur,Caña de azúcar,2016,2503622,118.44,296529437,129,8222,-0.04666354687543676
Brasil,BRA,América del Sur,Girasol,2016,1100687,1.66,1823932,94,4289,-0.03678402022532165
Brasil,BRA,América del Sur,Arroz,2017,1621472,7.16,11615734,115,8894,0.04673840761668123
Brasil,BRA,América del Sur,Soja,2017,7085824,3.06,21694268,86,4696,0.03601405968988218
Brasil,BRA,América del Sur,Cebada,2017,938327,6.34,5945832,252,7464,-0.04860813448990989
Brasil,BRA,América del Sur,Té,2017,250595,1.77,444531,147,7086,-0.039165389780076935
Brasil,BRA,América del Sur,Café,2017,13318,1.94,25860,206,4626,0.014765238063944155
Brasil,BRA,América del Sur,Algodón,2017,2118922,3.34,7074498,85,1742,0.04462615328819462
Brasil,BRA,América del Sur,Caña de azúcar,2017,8001831,60.54,484412010,149,8432,-0.012898848451311729
Brasil,BRA,América del Sur,Girasol,2017,5490058,2.3,12621748,156,2622,0.033369308329632155
Brasil,BRA,América del Sur,Arroz,2018,1289325,3.82,4925107,293,4868,0.035545019330595465
Brasil,BRA,América del Sur,Soja,2018,5139802,3.92,20135347,65,7523,-0.022411855913841316
Brasil,BRA,América del Sur,Cebada,2018,2496445,5.63,14058098,214,1349,-0.044942148933712706
Brasil,BRA,América del Sur,Té,2018,64771,2.5,161609,191,4394,0.00863830835815619
Brasil,BRA,América del Sur,Café,2018,145039,1.11,161490,50,5542,0.03584061263801763
Brasil,BRA,América del Sur,Algodón,2018,496481,2.59,1286021,271,1422,-0.036819677043810256
Brasil,BRA,América del Sur,Caña de azúcar,2018,3935472,71.46,281213415,82,7897,0.0026085526597867115
Brasil,BRA,América del Sur,Girasol,2018,4593482,2.33,10693279,165,9254,-0.027845024358171502
Brasil,BRA,América del Sur,Arroz,2019,3053967,6.23,19034059,65,8847,0.034729854316724276
Brasil,BRA,América del Sur,Soja,2019,967007,3.53,3416050,70,6277,0.010829742363343997
Brasil,BRA,América del Sur,Cebada,2019,499859,5.15,2576002,147,9692,-0.020510225405011018
Brasil,BRA,América del Sur,Té,2019,237014,1.43,339438,216,4522,-0.006993005833361363
Brasil,BRA,América del Sur,Café,2019,270778,1.13,305118,74,6120,-0.007323599373904199
Brasil,BRA,América del Sur,Algodón,2019,1773095,4.12,7300286,73,2398,-0.04067698982963226
Brasil,BRA,América del Sur,Caña de azúcar,2019,5457022,114.04,622322406,193,6400,0.017001326473229578
Brasil,BRA,América del Sur,Girasol,2019,3575193,4.02,14362621,203,6119,-0.0148353814306851
Brasil,BRA,América del Sur,Arroz,2020,985848,4.89,4824901,139,7022,-0.03851146864696919
Brasil,BRA,América del Sur,Soja,2020,1832113,5.35,9800172,259,1430,0.010899491555306527
Brasil,BRA,América del Sur,Cebada,2020,1658739,3.18,5273227,129,6567,-0.014897657926301822
Brasil,BRA,América del Sur,Té,2020,67736,1.83,123819,212,1502,-0.04082423169455547
Brasil,BRA,América del Sur,Café,2020,211553,1.21,255028,234,6314,0.0276835619966741
Brasil,BRA,América del Sur,Algodón,2020,392781,3.39,1330504,62,2336,-0.022789715645378107
Brasil,BRA,América del Sur,Caña de azúcar,2020,9291726,85.17,791369186,181,2864,-0.015482714451913814
Brasil,BRA,América del Sur,Girasol,2020,4309998,2.28,9821497,151,1897,-0.049231291410011715
Estados Unidos,USA,América del Norte,Cebada,2011,1540777,3.45,5309930,108,9196,0.005872356767471276
Estados Unidos,USA,América del Norte,Arroz,2011,1515527,4.16,6310104,54,8532,0.042116243450241245
Estados Unidos,USA,América del Norte,Trigo,2011,4961874,4.59,22754122,124,2887,-0.00949676929350455
Estados Unidos,USA,América del Norte,Algodón,2011,746437,3.92,2925948,285,6928,-0.04118701187021154
Estados Unidos,USA,América del Norte,Caña de azúcar,2011,4183118,72.26,302252772,272,6083,0.02458048264646029
Estados Unidos,USA,América del Norte,Girasol,2011,1407727,1.76,2473119,99,6724,-0.014890026504263958
Estados Unidos,USA,América del Norte,Té,2011,80107,1.15,92080,204,3504,0.026021529554689213
Estados Unidos,USA,América del Norte,Maíz,2011,3111264,10.04,31248261,194,8354,0.01811334783148337
Estados Unidos,USA,América del Norte,Cebada,2012,1419480,5.5,7808116,210,6179,-0.034904259860692316
Estados Unidos,USA,América del Norte,Arroz,2012,1803411,6.77,12215610,140,9312,-0.042580934382671236
Estados Unidos,USA,América del Norte,Trigo,2012,337546,2.32,781498,271,2479,0.011500838841557358
Estados Unidos,USA,América del Norte,Algodón,2012,1966641,3.47,6826536,60,8368,0.04090499565736645
Estados Unidos,USA,América del Norte,Caña de azúcar,2012,3222750,70.29,226541491,65,8381,-0.03964981227296084
Estados Unidos,USA,América del Norte,Girasol,2012,3037060,3.02,9157720,60,5059,0.020762170432327892
Estados Unidos,USA,América del Norte,Té,2012,291769,1.7,495688,122,7347,-0.00912306027526797
Estados Unidos,USA,América del Norte,Maíz,2012,972525,7.85,7635622,74,7333,-0.02158530261218863
Estados Unidos,USA,América del Norte,Cebada,2013,1450111,5.48,7939678,70,3317,0.041674645505712024
Estados Unidos,USA,América del Norte,Arroz,2013,2724671,6.0,16343391,290,2388,-0.019041811258403908
Estados Unidos,USA,América del Norte,Trigo,2013,2765763,8.07,22326033,239,9624,-0.04065470349339783
Estados Unidos,USA,América del Norte,Algodón,2013,2225658,1.78,3965714,104,6598,0.044766826753434685
Estados Unidos,USA,América del Norte,Caña de azúcar,2013,3860287,97.1,374831609,251,2657,0.0007689712724646275
Estados Unidos,USA,América del Norte,Girasol,2013,4520329,1.59,7188568,83,7172,-0.03457472386788785
Estados Unidos,USA,América del Norte,Té,2013,84451,1.92,161748,234,4891,0.046958860340862496
Estados Unidos,USA,América del Norte,Maíz,2013,7875390,4.73,37284991,250,8684,0.04039743381374582
Estados Unidos,USA,América del Norte,Cebada,2014,1369605,6.86,9398163,122,7256,0.00029066914875789523
Estados Unidos,USA,América del Norte,Arroz,2014,692298,6.44,4461103,114,1854,0.01411790362044471
Estados Unidos,USA,América del Norte,Trigo,2014,5130825,8.29,42525703,81,5670,-0.04161248746282099
Estados Unidos,USA,América del Norte,Algodón,2014,1800614,3.13,5639302,292,4637,0.03167032558555005
Estados Unidos,USA,América del Norte,Caña de azúcar,2014,503427,78.3,39418652,148,2337,-0.012508732658223241
Estados Unidos,USA,América del Norte,Girasol,2014,780340,3.66,2858777,85,1627,-0.021312060268673185
Estados Unidos,USA,América del Norte,Té,2014,79770,2.57,205217,281,2298,-0.04809961150890296
Estados Unidos,USA,América del Norte,Maíz,2014,2513669,7.53,18917053,78,5720,-0.026235977335906636
Estados Unidos,USA,América del Norte,Cebada,2015,470886,4.38,2061988,78,9189,0.009673904281894699
Estados Unidos,USA,América del Norte,Arroz,2015,1971236,5.84,11503705,50,6780,-0.025943576119345647
Estados Unidos,USA,América del Norte,Trigo,2015,741243,5.51,4087613,189,9312,0.02864123358453176
Estados Unidos,USA,América del Norte,Algodón,2015,92743,2.23,207071,145,5155,0.024731659156264532
Estados Unidos,USA,América del Norte,Caña de azúcar,2015,1131248,91.6,103622663,247,6447,-0.0366590410140636
Estados Unidos,USA,América del Norte,Girasol,2015,2816115,2.95,8303171,168,8840,0.013173584775833774
Estados Unidos,USA,América del Norte,Té,2015,37181,2.47,91683,101,1717,0.029110921322904396
Estados Unidos,USA,América del Norte,Maíz,2015,6082617,11.0,66907564,189,8756,-0.024668623479738264
Estados Unidos,USA,América del Norte,Cebada,2016,450723,3.46,1561657,217,6438,-0.022678339388612658
Estados Unidos,USA,América del Norte,Arroz,2016,2074784,8.18,16979569,148,6554,0.04737235843153091
Estados Unidos,USA,América del Norte,Trigo,2016,4316022,4.37,18881779,71,7955,-0.042107299394453214
Estados Unidos,USA,América del Norte,Algodón,2016,809350,2.14,1731601,219,5843,-0.019350414390924754
Estados Unidos,USA,América del Norte,Caña de azúcar,2016,7605385,67.34,512167955,236,6776,0.01148514821987643
Estados Unidos,USA,América del Norte,Girasol,2016,496324,1.67,828592,255,3621,0.045278939627960785
Estados Unidos,USA,América del Norte,Té,2016,213023,0.96,204149,143,6933,-0.011714559831122226
Estados Unidos,USA,América del Norte,Maíz,2016,2811278,8.79,24723101,245,2259,0.0073921778333895655
Estados Unidos,USA,América del Norte,Cebada,2017,878533,3.74,3281328,56,4048,-9.560397435331991e-05
Estados Unidos,USA,América del Norte,Arroz,2017,2355072,5.13,12076480,104,5678,0.019398064104079377
Estados Unidos,USA,América del Norte,Trigo,2017,2088849,3.08,6427423,280,8292,0.04972624040230418
Estados Unidos,USA,América del Norte,Algodón,2017,1551080,3.3,5124906,124,5914,0.03513620507531259
Estados Unidos,USA,América del Norte,Caña de azúcar,2017,3265959,95.73,312653511,101,3275,-0.02632638157131295
Estados Unidos,USA,América del Norte,Girasol,2017,3138794,2.7,8463505,191,3126,0.011194836262052088
Estados Unidos,USA,América del Norte,Té,2017,145612,1.94,282443,155,7708,0.032333939950839066
Estados Unidos,USA,América del Norte,Maíz,2017,4829549,7.74,37396696,138,3102,0.03779601516504118
Estados Unidos,USA,América del Norte,Cebada,2018,1565754,4.48,7020665,178,1907,0.03313908064675414
Estados Unidos,USA,América del Norte,Arroz,2018,1347592,4.44,5979789,138,9501,0.03949259168211244
Estados Unidos,USA,América del Norte,Trigo,2018,2531674,3.5,8870010,210,5961,0.011442827830819804
Estados Unidos,USA,América del Norte,Algodón,2018,2380383,1.59,3780271,218,6531,0.0342530004113389
Estados Unidos,USA,América del Norte,Caña de azúcar,2018,518763,82.73,42919275,117,4453,0.026695900091631114
Estados Unidos,USA,América del Norte,Girasol,2018,265813,2.46,653243,294,5949,-0.0017055181824580518
Estados Unidos,USA,América del Norte,Té,2018,250502,1.15,287538,162,7809,-0.001574886989264078
Estados Unidos,USA,América del Norte,Maíz,2018,2320189,6.04,14008334,270,6658,0.04753741279148803
Estados Unidos,USA,América del Norte,Cebada,2019,692271,3.34,2314849,81,5382,-0.0050403988004335196
Estados Unidos,USA,América del Norte,Arroz,2019,197640,4.81,949799,113,3616,0.031347784643944956
Estados Unidos,USA,América del Norte,Trigo,2019,3350284,3.11,10435086,169,9171,0.03790756636004186
Estados Unidos,USA,América del Norte,Algodón,2019,399791,4.38,1751980,105,6781,-0.04513418670703441
Estados Unidos,USA,América del Norte,Caña de azúcar,2019,7492961,54.67,409650994,84,5333,0.02275080633593919
Estados Unidos,USA,América del Norte,Girasol,2019,3622258,1.33,4814466,142,5728,-0.04264682502571582
Estados Unidos,USA,América del Norte,Té,2019,302617,1.97,594773,80,3108,0.047508281541378414
Estados Unidos,USA,América del Norte,Maíz,2019,5773045,5.84,33693619,204,9341,-0.00986129157239355
Estados Unidos,USA,América del Norte,Cebada,2020,72231,2.76,199266,166,3440,0.010626052240380414
Estados Unidos,USA,América del Norte,Arroz,2020,1467721,6.1,8951028,207,5902,0.009372465563098675
Estados Unidos,USA,América del Norte,Trigo,2020,4531938,5.29,23972607,258,1272,-0.013164219013423038
Estados Unidos,USA,América del Norte,Algodón,2020,2007293,3.29,6595382,226,1436,0.009690961595319368
Estados Unidos,USA,América del Norte,Caña de azúcar,2020,9081402,105.62,959203855,93,9589,0.012902524114536365
Estados Unidos,USA,América del Norte,Girasol,2020,3568661,1.65,5905368,292,2800,-0.030921567217307266
Estados Unidos,USA,América del Norte,Té,2020,224618,1.36,306478,248,8726,0.03728177089123204
Estados Unidos,USA,América del Norte,Maíz,2020,1352354,8.15,11016129,219,8837,0.0025477151400035355
India,IND,Asia,Girasol,2011,2269062,2.2,5000849,192,5890,-0.02751329620071833
India,IND,Asia,Trigo,2011,2588659,7.58,19620529,175,6194,-0.002019657679793861
India,IND,Asia,Caña de azúcar,2011,4634750,80.57,373416731,279,7464,0.03183774601305624
India,IND,Asia,Cebada,2011,1739332,2.8,4864842,70,6674,0.04240096318898805
India,IND,Asia,Café,2011,397847,1.3,516902,288,5450,-0.03627270451990771
India,IND,Asia,Algodón,2011,2492941,1.58,3939970,107,4814,-0.04475088931605373
India,IND,Asia,Té,2011,248340,1.13,281510,190,3587,-0.009309254845311657
India,IND,Asia,Arroz,2011,2058871,5.44,11209388,132,5676,0.014589791789026987
India,IND,Asia,Girasol,2012,799566,2.68,2145640,267,1611,0.04132297256698525
India,IND,Asia,Trigo,2012,1461191,6.82,9962430,251,9116,-0.03136883680775111
India,IND,Asia,Caña de azúcar,2012,5037771,92.35,465219356,77,6489,-0.021543834764995374
India,IND,Asia,Cebada,2012,1212791,4.46,5409411,179,8668,-0.022716291850200757
India,IND,Asia,Café,2012,181574,0.75,136605,97,1230,0.023661789549225695
India,IND,Asia,Algodón,2012,2480612,2.74,6797942,213,7643,0.03269898252763097
India,IND,Asia,Té,2012,46506,1.73,80375,172,6301,0.04358253870013884
India,IND,Asia,Arroz,2012,1555805,5.89,9164387,127,1187,-0.023844684918460726
India,IND,Asia,Girasol,2013,1980186,1.3,2567206,153,9233,0.0423106013947117
India,IND,Asia,Trigo,2013,2825741,7.34,20739361,144,4618,-0.028087139906465608
India,IND,Asia,Caña de azúcar,2013,2478284,100.41,248848979,229,9998,0.04127968882831043
India,IND,Asia,Cebada,2013,1778952,3.96,7038627,243,2341,0.002550665622016765
India,IND,Asia,Café,2013,194368,0.58,113619,190,9281,-0.029784322103335217
India,IND,Asia,Algodón,2013,709464,1.77,1255882,102,9008,-0.04090583555483122
India,IND,Asia,Té,2013,30162,1.89,57070,64,8575,0.017276771222736936
India,IND,Asia,Arroz,2013,99921,6.28,627055,198,2196,-0.04547101972721712
India,IND,Asia,Girasol,2014,538836,2.38,1282312,289,8734,-0.0468265128976921
India,IND,Asia,Trigo,2014,1158110,8.2,9497254,157,7135,0.0492856598580879
India,IND,Asia,Caña de azúcar,2014,6321138,92.87,587048732,188,3178,0.015353409841870197
India,IND,Asia,Cebada,2014,375339,5.08,1906711,300,4648,0.033482161166871555
India,IND,Asia,Café,2014,168945,1.52,256066,147,4762,-0.025248796149622443
India,IND,Asia,Algodón,2014,1148704,1.94,2232831,58,7868,0.01149232072089125
India,IND,Asia,Té,2014,9673,1.26,12182,164,1797,-0.025526584878160754
India,IND,Asia,Arroz,2014,1722902,4.63,7970650,64,3295,0.00038958489409345043
India,IND,Asia,Girasol,2015,4710171,2.34,11005432,132,4881,-0.019823556485579676
India,IND,Asia,Trigo,2015,4117779,2.66,10943711,292,3869,0.012599313764833003
India,IND,Asia,Caña de azúcar,2015,8381903,61.44,514954770,147,9592,-0.01812655426836878
India,IND,Asia,Cebada,2015,319231,3.14,1001124,111,4692,-0.019926358120485224
India,IND,Asia,Café,2015,457036,1.14,522375,156,9683,-0.0365907248940922
India,IND,Asia,Algodón,2015,824680,1.63,1344769,144,2514,0.003563553634721564
India,IND,Asia,Té,2015,30603,1.69,51855,273,2192,-0.03118367060672447
India,IND,Asia,Arroz,2015,3091241,6.25,19331936,135,5967,0.04570197605266732
India,IND,Asia,Girasol,2016,1427604,3.33,4760540,172,4974,0.019562628570498175
India,IND,Asia,Trigo,2016,3664040,8.28,30334016,147,8639,0.0033650127416263026
India,IND,Asia,Caña de azúcar,2016,4344791,93.11,404547795,255,8692,0.026162896930971125
India,IND,Asia,Cebada,2016,420777,3.74,1571815,106,3390,-0.04837800989987395
India,IND,Asia,Café,2016,321602,1.44,461947,134,4768,-0.012016022525884587
